subject,object,original_label
docetaxel,taxoid,narrower
early termination of clinical trials,clinical efficacy,narrower
lymphocyte activation,immunological tests,narrower
bromoviridae,group iv single stranded rna viruses,narrower
keto acids,carboxylic acid,narrower
hormonal contraception,fertility control,narrower
kernicterus,metabolic encephalopathy,narrower
cytokinins,vitamin b 4,narrower
complement membrane attack complex,complement protein,narrower
flexiviridae,group iv single stranded rna viruses,narrower
farms,manufacturing and industrial plants,narrower
plasma cells,bursa dependent lymphocytes,narrower
smiling,face expression,narrower
home care services,nursing service,narrower
vasodilator agents,cardiovascular agent,narrower
orofaciodigital syndromes,sex chromosome disorders,narrower
ferredoxins,iron sulfur proteins,narrower
callithrix,cebuella,narrower
complement c6,complement protein,narrower
tobamovirus,group iv single stranded rna viruses,narrower
peroxiredoxin iii,peroxiredoxins,narrower
carbohydrate sulfotransferases,sulfotransferase,narrower
pyrrolidinones,tetrahydropyridines,narrower
pharmacological and toxicological phenomena,physiological phenomena,narrower
sustained virologic response,clinical efficacy,narrower
porokeratosis,keratoses,narrower
heat stress disorders,injuries and wounds,narrower
classical lissencephalies and subcortical band heterotopias,x linked mental retardation disorders,narrower
observer variation,medical mistakes,narrower
serologic tests,immunological tests,narrower
human migration,stationary population,narrower
parathyroidectomy,endocrine surgical procedures,narrower
school nursing,school health service,narrower
lincosamides,tetrahydropyridines,narrower
myeloablative agonists,anticancer agents,narrower
soy foods,fermented foods,narrower
phalloplasty,esthetic surgical procedure,narrower
megestrol acetate,megestrol,narrower
hyaluronic acid,glycosaminoglycans,narrower
complement c7,complement protein,narrower
eye injuries,eye diseases,narrower
regional blood flow,blood flow,narrower
programmed cell death 1 receptor,immune checkpoint proteins,narrower
schilling test,hematologic tests,narrower
microbial collagenase,collagenase,narrower
neuroeffector junction,nerve endings,narrower
local field potential measurement,neurological diagnostic technique,narrower
arm,upper extremity,narrower
skin tests,immunological tests,narrower
deciduoma,decidua,narrower
procyclidine,tetrahydropyridines,narrower
orchiectomy,gonadectomy,narrower
in vitro meat,meat,narrower
odontogenic cysts,jaw cyst,narrower
extravasation of diagnostic and therapeutic materials,injuries and wounds,narrower
stroke volume,cardiac outputs,narrower
polycomb repressive complex 1,pcg complex protein,narrower
community of practice,social networking,narrower
cogan syndrome,eye diseases,narrower
complement activating enzymes,complement protein,narrower
candidiasis,fungal diseases,narrower
unsafe sex,sex behavior,narrower
tombusviridae,group iv single stranded rna viruses,narrower
gravity sensing,organoleptic,narrower
gingival neoplasms,oral neoplasms,narrower
teratozoospermia,male infertility,narrower
platelet function tests,hematologic tests,narrower
sexual abstinence,sex behavior,narrower
back injuries,injuries and wounds,narrower
growth,growth and development,narrower
fermented beverages,fermented foods,narrower
nelson syndrome,corticotroph adenomas,narrower
immune adherence reaction,immunological tests,narrower
matrix metalloproteinase 9,collagenase,narrower
neck injuries,injuries and wounds,narrower
hutchinson's melanotic freckle,malignant melanomas,narrower
nodose ganglion,cranial nerve x,narrower
piper betle,piper,narrower
erythrocyte aggregation,hematologic tests,narrower
ross river virus,group a arbovirus,narrower
livedoid vasculopathy,vascular skin diseases,narrower
ikaros transcription factor,kruppel like factor,narrower
nodaviridae,group iv single stranded rna viruses,narrower
complement c3,complement protein,narrower
hydroxy acids,carboxylic acid,narrower
esophageal perforation,injuries and wounds,narrower
trichosporonosis,fungal diseases,narrower
anilino naphthalenesulfonates,phenylamine,narrower
anatomic variation,physiological phenomena,narrower
tremorine,tetrahydropyridines,narrower
electrowetting,microfluidics,narrower
placental circulation,blood flow,narrower
mammaplasty,esthetic surgical procedure,narrower
acetabuloplasty,esthetic surgical procedure,narrower
dental care for persons with disabilities,dental care,narrower
reye syndrome,fatty liver,narrower
kinesis,animal behaviors,narrower
nurse administrators,nurse,narrower
meckel diverticulum,diverticulosis,narrower
otomycosis,fungal diseases,narrower
nidovirales,group iv single stranded rna viruses,narrower
nurse specialists,nurse,narrower
sprains and strains,injuries and wounds,narrower
sclerosing solutions,cardiovascular agent,narrower
excoriation disorder,intentional self injury,narrower
collateral circulation,blood flow,narrower
saphenous vein,vein,narrower
suggestion,mesmerism,narrower
osmotic fragility,hematologic tests,narrower
antihypertensive agents,cardiovascular agent,narrower
callimico,cebuella,narrower
job syndrome,primary immune deficiency,narrower
seasons,biological rhythms,narrower
edible grain,agricultural crops,narrower
wnt1 protein,wingless type proteins,narrower
thromboxanes,arachidonic acids,narrower
radiation injuries,injuries and wounds,narrower
axilla,upper extremity,narrower
potassium channel blockers,cardiovascular agent,narrower
fibrinolytic agents,cardiovascular agent,narrower
serotyping,immunological tests,narrower
esters,carboxylic acid,narrower
pelvic floor disorders,genitourinary diseases,narrower
birth injuries,injuries and wounds,narrower
diagnostic errors,medical mistakes,narrower
dermatologic surgical procedures,esthetic surgical procedure,narrower
rhinoplasty,esthetic surgical procedure,narrower
infradian rhythm,biological rhythms,narrower
poroma,sweat gland adenoma,narrower
forearm,upper extremity,narrower
bromochlorofluorocarbons,chlorofluorocarbons,narrower
treatment expectations,clinical efficacy,narrower
random forest,decision trees,narrower
hemolytic plaque technique,immunological tests,narrower
healthy worker effect,epidemiologic effect modifiers,narrower
endogenous retroviruses,oncovirinae,narrower
alpharetrovirus,oncovirinae,narrower
thogotovirus,orthomyxoviruses,narrower
cyclooxygenase 2 inhibitors,prostaglandin endoperoxide synthase inhibitors,narrower
health transition,stationary population,narrower
parakeratosis,keratoses,narrower
hand injuries,injuries and wounds,narrower
mobile applications,computer program,narrower
urologic diseases,genitourinary diseases,narrower
obesity management,weight loss programs,narrower
neuroendoscopy,neurological diagnostic technique,narrower
asthenozoospermia,male infertility,narrower
urinalysis,urologic diagnostic technics,narrower
blood coagulation tests,hematologic tests,narrower
germination,plant developments,narrower
shiga toxins,enterotoxin,narrower
peroxidasin,extracellular matrix proteins,narrower
scandentia,eutherian,narrower
alefacept,polyglobin,narrower
meningoencephalitis,central nervous system viral diseases,narrower
luteoviridae,group iv single stranded rna viruses,narrower
cd40 antigens,immune checkpoint proteins,narrower
longevity,physiological phenomena,narrower
iron regulatory protein 2,citrate hydrolyase,narrower
eye foreign bodies,foreign bodies,narrower
venous valves,vein,narrower
meat proteins,meat,narrower
thioctic acid,carboxylic acid,narrower
ataxia telangiectasia,primary immune deficiency disorder,narrower
topoisomerase inhibitors,anticancer agents,narrower
chronaxy,electrical stimulations,narrower
polycarboxylate cement,luting agents,narrower
hepatic encephalopathy,metabolic encephalopathy,narrower
chemsex,sex behavior,narrower
glycogen storage disease type iib,x linked mental retardation disorders,narrower
darier disease,keratoses,narrower
bloom syndrome,primary immune deficiency disorder,narrower
database management systems,computer program,narrower
hepatic veins,vein,narrower
akr murine leukemia virus,murine leukemia viruses,narrower
transcription factor relb,transcription factor nf kb,narrower
sarcomeres,myofibrils,narrower
lactose factors,episomes,narrower
erythrocyte indices,hematologic tests,narrower
adrenodoxin,iron sulfur proteins,narrower
wolman disease,cholesteryl ester storage disease,narrower
choroidal neovascularization,pathologic angiogenesis,narrower
pulmonary veins,vein,narrower
zinc finger protein gli3,kruppel like factor,narrower
uveal melanoma,malignant melanomas,narrower
electric injuries,injuries and wounds,narrower
poultry,meat,narrower
vasoconstrictor agents,cardiovascular agent,narrower
pinealectomy,endocrine surgical procedures,narrower
encephalitozoon cuniculi,encephalitozoon,narrower
argininosuccinate lyase,amidine lyases,narrower
suicide,intentional self injury,narrower
fetal macrosomia,diabetes mellitus complication,narrower
tarsal bones,bones of foot,narrower
resin cements,luting agents,narrower
renal circulation,blood flow,narrower
telomeric repeat binding protein 1,cst complex,narrower
acrospiroma,sweat gland adenoma,narrower
adrenoleukodystrophy,x linked mental retardation disorders,narrower
trypanosoma,trypanosomatinas,narrower
psychosocial functioning,general health levels,narrower
complement c9,complement protein,narrower
sneddon syndrome,vascular skin diseases,narrower
extramarital relations,sex behavior,narrower
shoulder,upper extremity,narrower
electroshock,electrical stimulations,narrower
female urogenital diseases and pregnancy complications,genitourinary diseases,narrower
oceans and seas,seawaters,narrower
protein footprinting,protein fingerprints,narrower
thyroidectomy,endocrine surgical procedures,narrower
homing behavior,animal behaviors,narrower
adamts proteins,extracellular matrix proteins,narrower
plant dormancy,plant developments,narrower
jejunal neoplasms,jejunal diseases,narrower
famciclovir,vitamin b 4,narrower
circadian rhythm,biological rhythms,narrower
neuromuscular junction,neuroeffector junctions,narrower
adrenergic antagonists,adrenergic agent,narrower
corpus callosum,forebrain commissure,narrower
histamine antagonists,histamine agents,narrower
homeostasis,physiological phenomena,narrower
ultradian rhythm,biological rhythms,narrower
organically modified ceramics,luting agents,narrower
biological clocks,biological rhythms,narrower
glucocorticoids,corticosteroid,narrower
pyruvate dehydrogenase complex deficiency disease,x linked mental retardation disorders,narrower
lens diseases,eye diseases,narrower
animal feed,agricultural crops,narrower
organ specificity,physiological phenomena,narrower
veterinary sports medicine,sports medicine,narrower
treatment failure,clinical efficacy,narrower
diabetic coma,diabetes mellitus complication,narrower
etiolation,plant developments,narrower
laminin,extracellular matrix proteins,narrower
organism hydration status,physiological phenomena,narrower
lentivirus,oncovirinae,narrower
designed ankyrin repeat proteins,biomimicry device,narrower
body temperature,physiological phenomena,narrower
phosphorylase b,phosphorylases,narrower
nanodiamonds,diamond,narrower
technetium tc 99m dimercaptosuccinic acid,organotechnetium compounds,narrower
spinal cord injuries,injuries and wounds,narrower
chiroptera,eutherian,narrower
crush injuries,injuries and wounds,narrower
mandatory testing,mass screening,narrower
puberty suppression,gender change procedures,narrower
laryngeal nerves,cranial nerve x,narrower
herniorrhaphy,esthetic surgical procedure,narrower
silage,fermented foods,narrower
castration,endocrine surgical procedures,narrower
maternal mortality,death rates,narrower
surgical wound,injuries and wounds,narrower
togaviridae,group iv single stranded rna viruses,narrower
alveolar epithelial cells,pulmonary alveolus,narrower
hospital mortality,death rates,narrower
soft tissue injuries,injuries and wounds,narrower
taxis response,animal behaviors,narrower
ovulation prediction,ovarian function tests,narrower
glass ionomer cements,luting agents,narrower
phaeohyphomycosis,fungal diseases,narrower
microsporidiosis,fungal diseases,narrower
teicoplanin,lipoglycopeptides,narrower
diphtheria,corynebacterium infection,narrower
retinal diseases,eye diseases,narrower
deoxyribonuclease hpaii,type ii site specific dnase,narrower
open abdomen techniques,abdominal wound closure techniques,narrower
undertreatment,health services misuses,narrower
neuroimaging,neurological diagnostic technique,narrower
clemastine,tetrahydropyridines,narrower
histamine agonists,histamine agents,narrower
ataxia telangiectasia,primary immune deficiency,narrower
seafood,meat,narrower
return of spontaneous circulation,blood flow,narrower
immunophenotyping,immunological tests,narrower
meat products,meat,narrower
urinary catheterization,urologic diagnostic technics,narrower
eye hemorrhage,eye diseases,narrower
acellular dermis,dermis,narrower
secoviridae,group iv single stranded rna viruses,narrower
leontopithecus,cebuella,narrower
fisheries,manufacturing and industrial plants,narrower
masturbation,sex behavior,narrower
hemoglobinometry,hematologic tests,narrower
navajo people,indigenous north american,narrower
gynecologic surgical procedures,urogenital surgical procedure,narrower
cobalt isotopes,cobalt,narrower
nerve conduction studies,neurological diagnostic technique,narrower
body contouring,esthetic surgical procedure,narrower
neutron activation analysis,activation analyses,narrower
animal testing alternatives,animal research alternative,narrower
isavirus,orthomyxoviruses,narrower
syringoma,sweat gland adenoma,narrower
potyviridae,group iv single stranded rna viruses,narrower
insulin secretion,physiological phenomena,narrower
ovarian reserve,fertility preferences,narrower
rodentia,eutherian,narrower
pediatric assistants,feldshers,narrower
arachidonic acid,arachidonic acids,narrower
acrocallosal syndrome,corpus callosum hypogeneses,narrower
pleasure,organoleptic,narrower
gardner syndrome,familial polyposis coli,narrower
hepevirus,group iv single stranded rna viruses,narrower
palatal neoplasms,oral neoplasms,narrower
poverty areas,poverty,narrower
ophthalmic assistants,feldshers,narrower
nafoxidine,tetrahydropyridines,narrower
figlu test,hematologic tests,narrower
chronobiology phenomena,physiological phenomena,narrower
guanosine diphosphate fucose,gdp sugars,narrower
dentin dysplasia,tooth abnormalities,narrower
complement c1,complement protein,narrower
hereditary complement deficiency diseases,primary immune deficiency,narrower
commotio cordis,heart contusion,narrower
elbow,upper extremity,narrower
matrix metalloproteinase 13,collagenase,narrower
xenarthra,eutherian,narrower
alaska natives,indigenous north american,narrower
aicardi syndrome,corpus callosum hypogeneses,narrower
morphogenesis,growth and development,narrower
artiodactyla,eutherian,narrower
compomers,luting agents,narrower
hidrocystoma,sweat gland adenoma,narrower
tongue neoplasms,oral neoplasms,narrower
heparin,glycosaminoglycans,narrower
adenylyl imidodiphosphate,adenylpyrophosphate,narrower
aminophenols,phenylamine,narrower
reinjuries,injuries and wounds,narrower
wernicke encephalopathy,metabolic encephalopathy,narrower
lacerations,injuries and wounds,narrower
prebiotics,nutriceutical,narrower
wnt2 protein,wingless type proteins,narrower
refractive errors,eye diseases,narrower
urologic surgical procedures,urogenital surgical procedure,narrower
properdin,complement protein,narrower
brachial plexus neuritis,brachial plexopathy,narrower
asphyxia,injuries and wounds,narrower
palatal neoplasms,mouth neoplasm,narrower
diabetic ketoacidosis,diabetes mellitus complication,narrower
cholesteatoma,keratoses,narrower
afrotheria,eutherian,narrower
central nervous system fungal infections,fungal diseases,narrower
kidney function tests,urologic diagnostic technics,narrower
pseudorabies,central nervous system viral diseases,narrower
hypermedia,computer program,narrower
wrist,upper extremity,narrower
plant senescence,plant developments,narrower
glycogen phosphorylase,phosphorylases,narrower
antithrombins,anticoagulation agents,narrower
rupture,injuries and wounds,narrower
cardiotonic agents,cardiovascular agent,narrower
heparitin sulfate,glycosaminoglycans,narrower
fallopian tubes,oviduct,narrower
foreign bodies,injuries and wounds,narrower
electrocorticography,neurological diagnostic technique,narrower
sodium channel blockers,cardiovascular agent,narrower
leg injuries,injuries and wounds,narrower
alpha7 nicotinic acetylcholine receptor,nicotinic acetylcholine receptors,narrower
dental care for chronically ill,dental care,narrower
polyurethanes,plastic,narrower
spinal puncture,neurological diagnostic technique,narrower
safe sex,sex behavior,narrower
venules,vein,narrower
callosities,keratoses,narrower
cataplexy,narcolepsy,narrower
dissociative identity disorder,dissociative reactions,narrower
methyl green,phenylamine,narrower
tympanic membrane perforation,injuries and wounds,narrower
colitis,colonic disease,narrower
power plants,manufacturing and industrial plants,narrower
cadasil,cerebral infarction,narrower
sermorelin,somatotropin releasing hormone,narrower
diabetic cardiomyopathies,diabetes mellitus complication,narrower
online social networking,social networking,narrower
diabesity,diabetes mellitus complication,narrower
multiple organ failure,shock,narrower
chaperonin 10,type i chaperonins,narrower
adrenalectomy,endocrine surgical procedures,narrower
crithidia,trypanosomatinas,narrower
human development,growth and development,narrower
cosmids,episomes,narrower
adrenergic agonists,adrenergic agent,narrower
matrix metalloproteinase 1,collagenase,narrower
embryonal carcinoma stem cells,neoplastic stem cell,narrower
complement c2,complement protein,narrower
leiomyosarcoma,muscle tissue neoplasms,narrower
cystoscopy,urologic diagnostic technics,narrower
peroxisomal bifunctional enzyme,enoyl coa hydratases,narrower
menkes kinky hair syndrome,x linked mental retardation disorders,narrower
severe combined immunodeficiency,primary immune deficiency,narrower
mitochondrial encephalomyopathies,metabolic encephalopathy,narrower
neurologic examination,neurological diagnostic technique,narrower
mandibular fractures,jaw fractures,narrower
blood substitutes,biomimicry device,narrower
sexuality,sex behavior,narrower
sulfanilamides,phenylamine,narrower
primidone,phenobarbitone,narrower
phosphothreonine,phosphoamino acids,narrower
neurotology,otolaryngology,narrower
neurofibromatosis 2,acoustic neurinomas,narrower
zygomycosis,fungal diseases,narrower
fenamates,phenylamine,narrower
neighborhood characteristics,place of birth,narrower
burns,injuries and wounds,narrower
aztreonam,monobactam,narrower
rhinosporidium,drip clade,narrower
abdominal injuries,injuries and wounds,narrower
salivary gland neoplasms,oral neoplasms,narrower
ileitis,ileal disease,narrower
piedra,fungal diseases,narrower
hand sanitizers,local antiinfective agents,narrower
neonatal screening,mass screening,narrower
lymphocyte activation gene 3 protein,immune checkpoint proteins,narrower
pupil disorders,eye diseases,narrower
piper nigrum,piper,narrower
frataxin,iron sulfur proteins,narrower
gonads,genital organs,narrower
endoscopy,minimally invasive surgical procedures,narrower
lewis x antigen,blood group lewis related antigens,narrower
deoxyribonuclease ecori,type ii site specific dnase,narrower
fatal outcome,death rates,narrower
toe phalanges,bones of foot,narrower
fused teeth,tooth abnormalities,narrower
metatarsal bones,bones of foot,narrower
tubular sweat gland adenomas,sweat gland adenoma,narrower
hospital charges,hospital economic,narrower
anisomycin,tetrahydropyridines,narrower
word processing,computer program,narrower
arylsulfotransferase,sulfotransferase,narrower
dentinogenesis imperfecta,tooth abnormalities,narrower
betulinic acid,lupane type triterpenes,narrower
dental care for aged,dental care,narrower
vestibular nerve,statoacoustic nerve,narrower
urography,urologic diagnostic technics,narrower
retropneumoperitoneum,injuries and wounds,narrower
sigmoid neoplasms,colon neoplasm,narrower
chaperonin 60,type i chaperonins,narrower
sea level rise,water movements,narrower
nurse practitioners,nurse,narrower
appetitive behavior,animal behaviors,narrower
vitronectin,extracellular matrix proteins,narrower
alopecia areata,female pattern baldness,narrower
deltainfluenzavirus,orthomyxoviruses,narrower
eye infections,eye diseases,narrower
fibrin clot lysis time,hematologic tests,narrower
neuronal outgrowth,neurogeneses,narrower
corneal diseases,eye diseases,narrower
dermatomycoses,fungal diseases,narrower
sparrows,songbirds,narrower
hospital costs,hospital economic,narrower
leviviridae,group iv single stranded rna viruses,narrower
nitric oxide donors,cardiovascular agent,narrower
solanum nigrum,horsenettle,narrower
consummatory behavior,animal behaviors,narrower
diabetic neuropathies,diabetes mellitus complication,narrower
gene knockdown techniques,gene targetings,narrower
wnt3 protein,wingless type proteins,narrower
touch,organoleptic,narrower
gene knockout techniques,gene targetings,narrower
breakthrough pain,organoleptic,narrower
contrecoup injury,injuries and wounds,narrower
crows,songbirds,narrower
dental care for children,dental care,narrower
ocular hypertension,eye diseases,narrower
vildagliptin,tetrahydropyridines,narrower
cholera toxin,enterotoxin,narrower
electron transport complex i,iron sulfur proteins,narrower
dictyosteliida,eumycetozoa,narrower
rauscher virus,murine leukemia viruses,narrower
solanum tuberosum,horsenettle,narrower
mastodynia,organoleptic,narrower
starlings,songbirds,narrower
ethenoadenosine triphosphate,adenylpyrophosphate,narrower
circadian clocks,biologic clock,narrower
xyy karyotype,abnormal karyotype,narrower
tongue neoplasms,mouth neoplasm,narrower
capillary isoelectric focusing,isoelectric focusing,narrower
orgasm,sex behavior,narrower
arm injuries,injuries and wounds,narrower
coitus interruptus,fertility control,narrower
cardioplegic solutions,cardiovascular agent,narrower
lipectomy,esthetic surgical procedure,narrower
infant food,specialized food,narrower
biodegradable plastics,plastic,narrower
ulnar collateral ligament reconstruction,esthetic surgical procedure,narrower
intermittent renal replacement therapy,kidney replacement therapies,narrower
aggrecans,extracellular matrix proteins,narrower
candida albicans,candida,narrower
urticaria,vascular skin diseases,narrower
sexual development,growth and development,narrower
scleral diseases,eye diseases,narrower
basophil degranulation test,immunological tests,narrower
optic nerve diseases,eye diseases,narrower
complement inactivator proteins,complement protein,narrower
hemoperfusion,kidney replacement therapies,narrower
erythrokeratodermia variabilis,keratoses,narrower
behcet syndrome,vascular skin diseases,narrower
sports nutritional sciences,sports medicine,narrower
aspermia,male infertility,narrower
cartilage oligomeric matrix protein,extracellular matrix proteins,narrower
health inequities,general health levels,narrower
sex chromosome disorders of sex development,sex chromosome disorders,narrower
mucocutaneous lymph node syndrome,vascular skin diseases,narrower
rubella virus,rubiviruses,narrower
cryptococcosis,fungal diseases,narrower
postmortem imaging,post mortem examination,narrower
host tropism,physiological phenomena,narrower
bezoars,foreign bodies,narrower
blood grouping and crossmatching,hematologic tests,narrower
growth and development,physiological phenomena,narrower
tissue expansion,esthetic surgical procedure,narrower
rosette formation,immunological tests,narrower
iliac vein,vein,narrower
speech recognition software,computer program,narrower
tenascin,extracellular matrix proteins,narrower
molar hypomineralization,enamel hypomineralization,narrower
granular cell tumor,muscle tissue neoplasms,narrower
perissodactyla,eutherian,narrower
hepatitis a virus cellular receptor 2,immune checkpoint proteins,narrower
glycoside hydrolase inhibitors,antidiabetic drugs,narrower
drowning,injuries and wounds,narrower
aloe,aloeaceae,narrower
fetal mortality,death rates,narrower
bloom syndrome,primary immune deficiency,narrower
bites and stings,injuries and wounds,narrower
geriatric assessment,general health levels,narrower
shivering,facultative thermogenesis,narrower
courtship,sex behavior,narrower
atrasentan,tetrahydropyridines,narrower
guided tissue regeneration,esthetic surgical procedure,narrower
gastropoda,mollusks,narrower
body constitution,physiological phenomena,narrower
aging,growth and development,narrower
blood sedimentation,hematologic tests,narrower
coccidioidomycosis,fungal diseases,narrower
transcription factor rela,transcription factor nf kb,narrower
gamification,computer program,narrower
paracoccidioidomycosis,fungal diseases,narrower
eulipotyphla,eutherian,narrower
sequiviridae,group iv single stranded rna viruses,narrower
hydroxycorticosteroids,corticosteroid,narrower
diphenylamine,phenylamine,narrower
immunoproliferative small intestinal disease,franklins disease,narrower
crystalloid solutions,isotonic solutions,narrower
taste,organoleptic,narrower
biomineralization,growth and development,narrower
multiple trauma,injuries and wounds,narrower
lyme disease,borrelia infections,narrower
oligospermia,male infertility,narrower
technetium tc 99m lidofenin,organotechnetium compounds,narrower
hearing,organoleptic,narrower
dental fissures,tooth abnormalities,narrower
deoxyribonuclease hindiii,type ii site specific dnase,narrower
giant cell arteritis,vascular skin diseases,narrower
azoospermia,male infertility,narrower
nitromifene,tetrahydropyridines,narrower
cephalopoda,mollusks,narrower
obesity management,weight reduction programs,narrower
friend murine leukemia virus,murine leukemia viruses,narrower
smooth muscle tumor,muscle tissue neoplasms,narrower
complement c4,complement protein,narrower
cerebral veins,vein,narrower
betaretrovirus,oncovirinae,narrower
popliteal vein,vein,narrower
technetium tc 99m medronate,organotechnetium compounds,narrower
cause of death,death rates,narrower
wnt4 protein,wingless type proteins,narrower
grateful med,computer program,narrower
pooled testing,mass screening,narrower
saguinus,cebuella,narrower
antimitotic agents,anticancer agents,narrower
red meat,meat,narrower
guanosine diphosphate mannose,gdp sugars,narrower
computerized adaptive testing,needs assessment,narrower
alefacept,recombinant fusion proteins,narrower
solanum melongena,horsenettle,narrower
cohort effect,epidemiologic effect modifiers,narrower
bivalvia,mollusks,narrower
mynd domains,zinc finger,narrower
gammainfluenzavirus,orthomyxoviruses,narrower
developmental defects of enamel,tooth abnormalities,narrower
gentian violet,phenylamine,narrower
son of sevenless proteins,rasgef,narrower
nested genes,overlapping genes,narrower
blood cell count,hematologic tests,narrower
femoral vein,vein,narrower
animal communication,animal behaviors,narrower
anilides,phenylamine,narrower
ringer's solution,isotonic solutions,narrower
retinal vein,vein,narrower
ocular motility disorders,eye diseases,narrower
tegmentum mesencephali,basis pedunculi,narrower
advanced cardiac life support,life support care,narrower
endovascular procedures,minimally invasive surgical procedures,narrower
technetium tc 99m mertiatide,organotechnetium compounds,narrower
aromatic amino acid decarboxylase inhibitors,antiparkinsonian agents,narrower
sindbis virus,group a arbovirus,narrower
radiotherapy setup errors,medical mistakes,narrower
response evaluation criteria in solid tumors,clinical efficacy,narrower
software validation,computer program,narrower
astroviridae,group iv single stranded rna viruses,narrower
programming languages,computer program,narrower
population growth,stationary population,narrower
gammaretrovirus,oncovirinae,narrower
cholangiography,abdominal radiographies,narrower
hemerocallis,aloeaceae,narrower
cyanogen bromide,bromides,narrower
histoplasmosis,fungal diseases,narrower
bepridil,tetrahydropyridines,narrower
abdominoplasty,esthetic surgical procedure,narrower
solanum lycopersicum,horsenettle,narrower
histocompatibility testing,immunological tests,narrower
fibronectins,extracellular matrix proteins,narrower
parental leave,family leave,narrower
hereditary complement deficiency diseases,primary immune deficiency disorder,narrower
nonodontogenic cysts,jaw cyst,narrower
survival of motor neuron 1 protein,gem associated proteins,narrower
klatskin tumor,cholangiocarcinomas,narrower
cd4 immunoadhesins,recombinant fusion proteins,narrower
spumavirus,oncovirinae,narrower
reye syndrome,metabolic encephalopathy,narrower
congenitally corrected transposition of the great arteries,great arteries transpositions,narrower
ocular hypotension,eye diseases,narrower
geotrichosis,fungal diseases,narrower
r factors,episomes,narrower
isoelectric point,isoelectric focusing,narrower
subclavian vein,vein,narrower
zinc phosphate cement,luting agents,narrower
renal dialysis,kidney replacement therapies,narrower
ganglionic eminence,mammalian embryo,narrower
brainwashing,persuasive communication,narrower
versicans,extracellular matrix proteins,narrower
hydroxyeicosatetraenoic acids,arachidonic acids,narrower
fragile x syndrome,sex chromosome disorders,narrower
matrix metalloproteinase 2,collagenase,narrower
eye manifestations,eye diseases,narrower
hematocrit,hematologic tests,narrower
anterior horn cells,cornu anterius,narrower
medication errors,medical mistakes,narrower
pulmonary valve stenosis,ventricular outflow obstructions,narrower
primates,eutherian,narrower
academic failure,educational levels,narrower
dead box protein 20,gem associated proteins,narrower
ovulation detection,ovarian function tests,narrower
bromhexine,phenylamine,narrower
home environment,place of birth,narrower
probiotics,nutriceutical,narrower
diabetic angiopathies,diabetes mellitus complication,narrower
Image sequences,Image processing,narrower
Optical engineering,Optics,narrower
FET integrated circuits,Integrated circuits,narrower
Econometrics,Economics,narrower
Thick film sensors,Sensors,narrower
ARPANET,Communication systems,narrower
Electrostatic precipitators,Industry applications,narrower
Gastroenterology,Medical specialties,narrower
Automotive control,Control systems,narrower
Brain cells,Brain,narrower
Self-replicating machines,Nanotechnology,narrower
Demagnetization,Magnetics,narrower
Superluminescent diodes,Semiconductor devices,narrower
Hall effect devices,Semiconductor devices,narrower
Cybersickness,Medical conditions,narrower
Steel industry,Industries,narrower
Lakes,Geoscience,narrower
Thorium,Chemical elements,narrower
Spirals,Mathematics,narrower
Robot programming,Robots,narrower
Nanostructured materials,Materials,narrower
Optical fiber applications,Optics,narrower
Raw materials,Materials,narrower
Helical antennas,Antennas,narrower
Measurement techniques,Measurement,narrower
Integrated circuit modeling,Integrated circuits,narrower
Systems biology,Biology,narrower
Text detection,Image processing,narrower
Particle beam measurements,Measurement,narrower
Computer hacking,Computer security,narrower
Optical control,Control systems,narrower
Chemical reaction network theory,Mathematics,narrower
Traffic control,Control systems,narrower
Power system planning,Power systems,narrower
Magnetic particles,Magnetics,narrower
Euclidean distance,Mathematics,narrower
Power generation economics,Economics,narrower
Military computing,Computer applications,narrower
Image preprocessing,Image processing,narrower
Quantum communication,Communication systems,narrower
Dysprosium,Chemical elements,narrower
Millimeter wave integrated circuits,Integrated circuits,narrower
Load modeling,Modeling,narrower
Biomedical imaging,Imaging,narrower
Context modeling,Modeling,narrower
Feature extraction,Image processing,narrower
Finite volume methods,Numerical analysis,narrower
Antenna accessories,Antennas,narrower
Ventricle system,Brain,narrower
Nonparametric statistics,Statistics,narrower
Broadband antennas,Antennas,narrower
Software debugging,Software,narrower
Power system economics,Power systems,narrower
Image converters,Imaging,narrower
UHF communication,Communication systems,narrower
Robot control,Robots,narrower
Hoses,Mechanical products,narrower
Arithmetic,Mathematics,narrower
Robot sensing systems,Robots,narrower
Harmonic filters,Filters,narrower
Production materials,Materials,narrower
Independent component analysis,Numerical analysis,narrower
Geochemistry,Geoscience,narrower
Temporal lobe,Brain,narrower
Blanking,Manufacturing systems,narrower
Soil measurements,Measurement,narrower
Power system reliability,Power systems,narrower
Optogenetics,Optics,narrower
Bio-inspired materials,Materials,narrower
Robot kinematics,Robots,narrower
Symmetric matrices,Numerical analysis,narrower
Application specific integrated circuits,Integrated circuits,narrower
Channel coding,Information theory,narrower
Azimuth,Mathematics,narrower
Smoothing methods,Mathematics,narrower
Least squares approximations,Numerical analysis,narrower
Image sensors,Imaging,narrower
Transistors,Semiconductor devices,narrower
Tsunami,Geoscience,narrower
Piecewise linear techniques,Mathematics,narrower
Trade agreements,Economics,narrower
Four-wave mixing,Optics,narrower
Positive train control,Control systems,narrower
Neon,Chemical elements,narrower
Multidimensional signal processing,Signal processing,narrower
Linearization techniques,Mathematics,narrower
